3countb,"三回合较量/火线摔角","3 Count Bout / Fire Suplex (NGM-043 ~ NGH-043)",
3countba,"三回合较量-火线摔角","Three Count Bout: Fire Pro Wrestling",
3in1semi,"XESS新的革命","New HyperMan (3-in-1 with Cookie &amp; Bibi &amp; HyperMan) (set 1)",
3kokushi,"三刻志","Sankokushi (Japan)",
3lilpigs,"三只小猪","3 Lil' Pigs",
3on3dunk,"三对三疯狂灌篮","3 On 3 Dunk Madness (US, prototype? 1997/02/04)",
3stooges,"三个傀儡","The Three Stooges In Brides Is Brides (set 1)",
3stoogesa,"三个傀儡","The Three Stooges In Brides Is Brides (set 2)",
3super8,"3超级8","3 Super 8 (Italy)",
3wishrd,"三个红愿望","Three Wishes Red (Russia) (Atronic)",
3wonders,"三个奇迹","Three Wonders (World 910520)",
3wonders01,"奇迹三合一 (EX超级版 2019-04-19)","Three Wonders (EX Super Edition 2019-04-19)",
3wonders02,"奇迹三合一 (无限生命)","Three Wonders (Infinite Lives)",
3wondersb,"三个奇迹","Three Wonders (bootleg)",
3wondersb01,"奇迹三合一 ( 第3套 910520)","Three Wonders (Set 3 910520)",
3wondersh,"三个奇迹","Three Wonders (hack)",
3wondersha,"三个奇迹","Three Wonders",
3wondersr1,"三个奇迹","Three Wonders (World 910513)",
3wondersu,"三个奇迹","Three Wonders (USA 910520)",
3wondrud,"奇迹三合一 (美版 910520 凤凰版)","Three Wonders (US Phoenix Edition 910520)",
3x3puzzl,"3X3益智游戏","3X3 Puzzle (Enterprise)",
3x3puzzla,"3X3益智游戏","3X3 Puzzle (Normal)",
40love,"网球40-0","Forty-Love (World)",
40lovej,"网球40-0","Forty-Love (Japan)",
48in1,"48合1mame未授权","48 in 1 MAME bootleg (ver 3.09, HPH-V000)",
48in1a,"48合1mame未授权","48 in 1 MAME bootleg (ver 3.02, HPH-V000)",
48in1b,"48合1mame未授权","48 in 1 MAME bootleg (ver 3.09, HPH-V000, alt flash)",
4dwarrio,"4-D勇士","4-D Warriors (315-5162)",
4enlinea,"线上之四","Cuatro en Linea (rev. A-07)",
4enraya,"四连线","4 En Raya (set 1)",
4enrayaa,"四连线","4 En Raya (set 2)",
4in1,"欢乐四合一","4 Fun in 1",
4in1a,"4合1mame未授权","4 in 1 MAME bootleg (ver 3.00, PLZ-V014)",
4in1b,"4合1mame未授权","4 in 1 MAME bootleg (PLZ-V001)",
4in1boot,"益智游戏王(吃豆人2,俄罗斯方块,超人2,雪人兄弟)","Puzzle King (PacMan 2, Tetris, HyperMan 2, Snow Bros.)",
4play,"4人游戏输入测试","4 Player System - 10 in 1",
4psimasy,"四人麻雀","Mahjong 4P Shimasho (Japan)",
4roses,"四玫瑰","Four Roses (encrypted, set 1)",
4rosesa,"四玫瑰","Four Roses (encrypted, set 2)",
500gp,"极速狂飙","500 GP (US, 5GP3 Ver. C)",
50lionrr,"50雄狮-咆哮的财富","50 Lions - Roaring Riches (20301311, NSW/ACT)",
50lions,"50雄狮","50 Lions (10120511, NSW/ACT)",
50lionsm,"50雄狮","50 Lions (10156111, Malaysia)",
5acespkr,"五张牌扑克","5-Aces Poker",
5clown,"五扑克","Five Clown (English, set 1)",
5clowna,"五扑克","Five Clown (English, set 2)",
5clownsp,"五扑克","Five Clown (Spanish hack)",
5drag,"五龙争霸","5 Dragons (20161011, NSW/ACT)",
5dragce,"五龙争霸-现金快递","5 Dragons - Cash Express (0152309, US)",
5dragsp,"五龙争霸","5 Dragons (20161011, NSW/ACT, Show Program)",
5koipp,"五锦争霸-权力支付","5 Koi - Power Pay (10250711, NSW/ACT)",
600,"600","600",
60in1,"60合1mame未授权","60 in 1 MAME bootleg (ver 3.00, ICD-V000)",
64street,"64街一个侦探的故事","64th. Street - A Detective Story (World)",
64streetj,"64街一个侦探的故事日版","64th. Street - A Detective Story (Japan, set 1)",
64streetja,"64街一个侦探的故事日版替换版","64th. Street - A Detective Story (Japan, set 2)",
720,"720°滑板小子","720 Degrees (rev 4)",
720g,"720°滑板小子","720 Degrees (German, rev 2)",
720gr1,"720°滑板小子","720 Degrees (German, rev 1)",
720r1,"720°滑板小子","720 Degrees (rev 1)",
720r2,"720°滑板小子","720 Degrees (rev 2)",
720r3,"720°滑板小子","720 Degrees (rev 3)",
7in1ss,"七合一体育馆","7 in 1 Sports Stadium",
7jigen,"7次元之妖精达","7jigen no Youseitachi - Mahjong 7 Dimensions (Japan)",
7mezzo,"7分半","7 e Mezzo",
7ordi,"7张牌","7 Ordi (Korea)",
7smash,"7杀水果机","7 Smash",
7toitsu,"七对子","Chi-Toitsu",
800fath,"海底潜航800海里","800 Fathoms",
800fatha,"海底潜航800海里","800 Fathoms (older)",
86lions,"86雄狮","86 Lions",
88games,"科乐美运动会'88","'88 Games",
8ball,"视讯撞球-抢8撞球","Video Eight Ball",
8ball1,"视讯撞球-抢8撞球","Video Eight Ball (Rev.1)",
8ballact,"抢8撞球","Eight Ball Action (DK conversion)",
8ballact2,"抢8撞球","Eight Ball Action (DKJr conversion)",
8bpm,"抢8撞球","Eight Ball Action (Pac-Man conversion)",
98best44,"98NeoPri最佳44日版","Neo Print - '98 NeoPri Best 44 (Japan) (T4i 3.07)",
99bottles,"99瓶啤酒","99 Bottles of Beer",
99lstwar,"'99最后一战","'99: The Last War (set 1)",
99lstwara,"'99最后一战","'99: The Last War (set 2)",
99lstwarb,"'99最后一战","'99: The Last War (bootleg)",
99lstwark,"'99最后一战","'99: The Last War (Kyugo)",
9ballsht,"花式撞球","9-Ball Shootout (set 1)",
9ballsht2,"花式撞球","9-Ball Shootout (set 2)",
9ballsht3,"花式撞球","9-Ball Shootout (set 3)",
9ballshtc,"花式撞球锦标赛","9-Ball Shootout Championship",
Bloodstm221,"血腥风暴(v2.21)","Blood Storm (v2.21)",
Sf2ceb3,"街头霸王II'四大天王","Street Fighter II' Champion Edition (Set 3)",
a51mxr3k,"51区/终极武装","Area 51 / Maximum Force Duo (R3000, 2/10/98)",
a51mxr3ka,"51区/终极武装","Area 51 / Maximum Force Duo (R3000, 2/02/98)",
a51site4,"51区：现场4","Area 51: Site 4 (HD Rev 2.01, September 7, 1998)",
a51site4a,"51区：现场4","Area 51: Site 4 (HD Rev 2.0, September 11, 1998)",
aadvent,"非洲大冒险","African Adventure (Konami Endeavour, Russia)",
aafb,"美式足球","All American Football (rev E)",
aafbb,"美式足球","All American Football (rev B)",
aafbc,"美式足球","All American Football (rev C)",
aafbd2p,"美式足球","All American Football (rev D, 2 Players)",
aar_101,"艾伦斯班林","Aaron Spelling (1.01)",
aavenger,"空降复仇者弹珠台","Airborne Avenger",
abacus,"珠算","Abacus (Ver 1.0)",
abaseb,"雅达利棒球","Atari Baseball (set 1)",
abaseb2,"雅达利棒球","Atari Baseball (set 2)",
abattle,"原子战争","Astro Battle (set 1)",
abattle2,"原子战争","Astro Battle (set 2)",
abcheck,"异常检查","Abnormal Check",
abclimax,"冲破火网巅峰","After Burner Climax (Export)",
abcop,"宇宙骑警","A.B. Cop (World) (FD1094 317-0169b)",
abcopd,"宇宙骑警","A.B. Cop (World) (bootleg of FD1094 317-0169b set)",
abcopj,"宇宙骑警","A.B. Cop (Japan) (FD1094 317-0169b)",
abcopjd,"宇宙骑警","A.B. Cop (Japan) (bootleg of FD1094 317-0169b set)",
abigchs,"乳酪之王","Big Cheese (Russia) (Atronic)",
ablast,"企鹅爆破","Hong Tian Lei (A-Blast) (Japan)",
ablastb,"轰天雷","Hong Tian Lei (A-Blast) (bootleg)",
abnudge,"动物水果机","Animal Bonus Nudge (Version 2.1 Dual)",
abnudgeb,"动物水果机","Animal Bonus Nudge (Version 2.0, set 1)",
abnudged,"动物水果机","Animal Bonus Nudge (Version 2.0, set 2)",
abnudgeo,"动物水果机","Animal Bonus Nudge (Version 1.7)",
abscam,"食鬼先生","Abscam",
abunai,"日本花札-危险放课后","Abunai Houkago - Mou Matenai (Japan 890325)",
aburner,"冲破火网","After Burner",
aburner2,"冲破火网II","After Burner II",
aburner2g,"冲破火网II德版","After Burner II (German)",
abv106,"空降","Airborne (1.6)",
abv106r,"空降","Airborne (Redemption)",
abyssali,"Neo深海婴儿","Neo Abyssal Infant",
ac1bbclb,"大型休息俱乐部","Big Break Club (Ace) (ACESYS1) (set 1)",
ac1bbclba,"大型休息俱乐部","Big Break Club (Ace) (ACESYS1) (set 2)",
ac1bluec,"蓝色筹码","Blue Chip (Pcp) (ACESYS1) (set 1)",
ac1blueca,"蓝色筹码","Blue Chip (Pcp) (ACESYS1) (set 2)",
ac1bluecb,"蓝色筹码","Blue Chip (Pcp) (ACESYS1) (set 3)",
ac1bluecc,"蓝色筹码","Blue Chip (Pcp) (ACESYS1) (set 4)",
ac1bluecd,"蓝色筹码","Blue Chip (Pcp) (ACESYS1) (set 5)",
ac1clbmn,"俱乐部财富","Club Money (Ace) (ACESYS1) (set 1)",
ac1clbsv,"俱乐部土豪","Club Sovereign (Ace) (ACESYS1)",
ac1clbxt,"Ｘｔｒａ俱乐部","Club Xtra (Ace) (ACESYS1) (set 1)",
ac1clbxta,"Ｘｔｒａ俱乐部","Club Xtra (Ace) (ACESYS1) (set 2)",
ac1cshtw,"金钱大夏","Cash Towers (Ace) (ACESYS1)",
ac1dbldx,"双人豪华包间","Double Deluxe (Pcp) (ACESYS1)",
ac1gogld,"淘金去","Go For Gold (Ace) (ACESYS1) (set 1)",
ac1hideh,"喜德喜豪华版","Hi De Hi Deluxe (Ace) (ACESYS1) (set 1)",
ac1hideha,"喜德喜豪华版","Hi De Hi Deluxe (Ace) (ACESYS1) (set 2)",
ac1hotpf,"利滚滚","Hot Profit (Ace) (ACESYS1)",
ac1nudbk,"微赢","Nudge Break (Pcp) (ACESYS1) (set 1)",
ac1nudbka,"微赢","Nudge Break (Pcp) (ACESYS1) (set 2)",
ac1nudbkb,"微赢","Nudge Break (Pcp) (ACESYS1) (set 3)",
ac1nudbkc,"微赢","Nudge Break (Pcp) (ACESYS1) (set 4)",
ac1nudbkd,"微赢","Nudge Break (Pcp) (ACESYS1) (set 5)",
ac1piaca,"再战赌场","Play It Again Casino (Ace) (ACESYS1)",
ac1piacl,"再战俱乐部","Play It Again Club (Ace) (ACESYS1) (set 1)",
ac1piacla,"再战俱乐部","Play It Again Club (Ace) (ACESYS1) (set 2)",
ac1piaclb,"再战俱乐部","Play It Again Club (Ace) (ACESYS1) (set 3)",
ac1piaclc,"再战俱乐部","Play It Again Club (Ace) (ACESYS1) (set 4)",
ac1primt,"黄金时间","Primetime (Ace) (ACESYS1) (set 1)",
ac1prmcl,"高级俱乐部","Premier Club (Ace) (ACESYS1) (set 1)",
ac1prmcla,"高级俱乐部","Premier Club (Ace) (ACESYS1) (set 2)",
ac1prmclb,"高级俱乐部","Premier Club (Ace) (ACESYS1) (set 3)",
ac1prmclc,"高级俱乐部","Premier Club (Ace) (ACESYS1) (set 4)",
ac1pster,"英镑","Pound Sterling (Ace) (ACESYS1)",
ac1pstrt,"镑架","Pound Stretcher (Pcp) (ACESYS1)",
ac1roll,"动吧","Roll Up (Pcp) (ACESYS1) (set 1)",
ac1rolla,"动吧","Roll Up (Pcp) (ACESYS1) (set 2)",
ac1rollb,"动吧","Roll Up (Pcp) (ACESYS1) (set 3)",
ac1rundx,"亚军豪华俱乐部","Runner Deluxe Club (Ace) (ACESYS1) (set 1)",
ac1rundxa,"亚军豪华俱乐部","Runner Deluxe Club (Ace) (ACESYS1) (set 2)",
ac1shid,"超级喜德喜","Super Hi De Hi (Ace) (ACESYS1) (set 1)",
ac1shida,"超级喜德喜","Super Hi De Hi (Ace) (ACESYS1) (set 2)",
ac1sstrk,"追星族","Starstruck (Pcp) (ACESYS1) (set 1)",
ac1sstrka,"追星族","Starstruck (Pcp) (ACESYS1) (set 2)",
ac1sstrkb,"追星族","Starstruck (Pcp) (ACESYS1) (set 3)",
ac1taklv,"接受或放弃","Take It Or Leave It (Ace) (ACESYS1) (set 1)",
ac1totb,"比尔的顶峰","Top Of The Bill (Ace) (ACESYS1)",
ac1unk,"未知的王牌系统1游戏","unknown Ace System 1 game",
ac1xpres,"施普雷斯","Xpress (Pcp) (ACESYS1)",
academy,"墨菲斯托学院","Mephisto Academy (English)",
ace,"飞机大战","Ace",
aceattac,"王牌攻击","Ace Attacker (FD1094 317-0059)",
aceattaca,"王牌攻击","Ace Attacker (Japan, System 16A, FD1094 317-0060)",
acedrvrw,"Ａ级方程式赛车","Formula A Racing",
acefruit,"影子水果机","Silhouette",
acheart,"圣灵之心","Arcana Heart",
acheartf,"圣灵之心完整版","Arcana Heart Full",
acitya,"大西洋城扑克","Atlantic City Action",
aclown,"丑角","Clown (Russia) (Atronic)",
acombat,"原子战争","Astro Combat (newer, CB)",
acombat3,"原子战争","Astro Combat (unencrypted)",
acombat4,"原子战争","Astro Combat (encrypted)",
acombato,"原子战争","Astro Combat (older, PZ)",
acommand,"异形密令","Alien Command",
acrnsys1,"艾康系统1","Acorn System 1",
acrnsys2,"艾康系统2","Acorn System 2",
acrnsys3,"艾康系统3","Acorn System 3 (6502 CPU)",
acrnsys3_6809,"艾康系统3","Acorn System 3 (6809 CPU)",
acrnsys4,"艾康系统4","Acorn System 4",
acrnsys5,"艾康系统5","Acorn System 5",
acrobatm,"风云战机","Acrobat Mission",
act2000,"行动2000","Action 2000 (Version 3.5E Dual)",
act2000b1,"行动2000","Action 2000 (Version 3.5R, set 2)",
act2000bx,"行动2000","Action 2000 (Version 3.30XT, set 2)",
act2000d1,"行动2000","Action 2000 (Version 3.5R, set 1)",
act2000dx,"行动2000","Action 2000 (Version 3.30XT, set 1)",
act2000o,"行动2000","Action 2000 (Version 3.3)",
act2000o2,"行动2000","Action 2000 (Version 3.10XT)",
act2000o3,"行动2000","Action 2000 (Version 1.2)",
act2000v1,"行动2000","Action 2000 (Version 3.5R Dual)",
act2000vx,"行动2000","Action 2000 (Version 3.30XT Dual)",
actfancr,"战斗机器","Act-Fancer Cybernetick Hyper Weapon (World revision 3)",
actfancr1,"战斗机器","Act-Fancer Cybernetick Hyper Weapon (World revision 1)",
actfancr2,"战斗机器","Act-Fancer Cybernetick Hyper Weapon (World revision 2)",
actfancrj,"战斗机器","Act-Fancer Cybernetick Hyper Weapon (Japan revision 1)",
actionhw,"动作好莱坞","Action Hollywood",
ad2083,"太空核战2083","A. D. 2083",
ad4ctl,"警察俱乐部","Cop The Lot Club (Video) (Bellfruit) (Adder 4) (set 1)",
ad4ctla,"警察俱乐部","Cop The Lot Club (Video) (Bellfruit) (Adder 4) (set 2)",
ad4skill,"技巧骰子","Skill Dice (BFM) (Scorpion 4 + Adder 4)",
ad5bpfpm,"靶心积分赛","Bullseye Pounds For Points (Mazooma) (Adder 5) (set 1)",
ad5bpfpma,"靶心积分赛","Bullseye Pounds For Points (Mazooma) (Adder 5) (set 2)",
ad5bpfpmb,"靶心积分赛","Bullseye Pounds For Points (Mazooma) (Adder 5) (set 3)",
ad5bpfpmc,"靶心积分赛","Bullseye Pounds For Points (Mazooma) (Adder 5) (set 4)",
ad5bpfpmd,"靶心积分赛","Bullseye Pounds For Points (Mazooma) (Adder 5) (set 5)",
ad5btc,"三重靶心俱乐部","Bullseye Triple Club (PR1758, BFGPBULS) (Bellfruit) (Adder 5) (set 1)",
ad5btca,"三重靶心俱乐部","Bullseye Triple Club (PR1758, BFGPBULS) (Bellfruit) (Adder 5) (set 3)",
ad5btcb,"三重靶心俱乐部","Bullseye Triple Club (PR1758, BFGNBULS) (Bellfruit) (Adder 5) (set 4)",
ad5cmons,"疯狂金钱","Crazy Money (Bellfruit) (Adder 5) (set 1)",
ad5cmonsa,"疯狂金钱","Crazy Money (Bellfruit) (Adder 5) (set 2)",
ad5copsr,"警察和强盗","Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 1)",
ad5copsr0,"警察和强盗","Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 7)",
ad5copsr1,"警察和强盗","Cops 'n' Robbers (PR2497) (Mazooma) (Adder 5) (set 2)",
ad5copsr2,"警察和强盗","Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 8)",
ad5copsr3,"警察和强盗","Cops 'n' Robbers (PR2628) (Mazooma) (Adder 5) (set 1)",
ad5copsr4,"警察和强盗","Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 5)",
ad5copsr5,"警察和强盗","Cops 'n' Robbers (PR2628) (Mazooma) (Adder 5) (set 2)",
ad5copsr6,"警察和强盗","Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 6)",
ad5copsr7,"警察和强盗","Cops 'n' Robbers (PR2628) (Mazooma) (Adder 5) (set 4)",
ad5copsra,"警察和强盗","Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 2)",
ad5copsrb,"警察和强盗","Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 3)",
ad5copsrc,"警察和强盗","Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 1)",
ad5copsrd,"警察和强盗","Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 4)",
ad5copsre,"警察和强盗","Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 5)",
ad5copsrf,"警察和强盗","Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 6)",
ad5copsrg,"警察和强盗","Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 2)",
ad5copsrh,"警察和强盗","Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 1)",
ad5copsri,"警察和强盗","Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 2)",
ad5copsrj,"警察和强盗","Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 5)",
ad5copsrk,"警察和强盗","Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 7)",
ad5copsrl,"警察和强盗","Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 8)",
ad5copsrm,"警察和强盗","Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 9)",
ad5copsrn,"警察和强盗","Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 3)",
ad5copsro,"警察和强盗","Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 10)",
ad5copsrp,"警察和强盗","Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 11)",
ad5copsrq,"警察和强盗","Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 12)",
ad5copsrr,"警察和强盗","Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 4)",
ad5copsrs,"警察和强盗","Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 3)",
ad5copsrt,"警察和强盗","Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 4)",
ad5copsru,"警察和强盗","Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 6)",
ad5copsrv,"警察和强盗","Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 13)",
ad5copsrw,"警察和强盗","Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 14)",
ad5copsrx,"警察和强盗","Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 5)",
ad5copsry,"警察和强盗","Cops 'n' Robbers (PR1965) (Bellfruit) (Adder 5) (set 6)",
ad5copsrz,"警察和强盗","Cops 'n' Robbers (PR2497) (Mazooma) (Adder 5) (set 1)",
ad5crcpt,"警察和强盗-社区派对","Cops 'n' Robbers Community Party (Bellfruit) (Adder 5) (set 1)",
ad5crcpta,"警察和强盗-社区派对","Cops 'n' Robbers Community Party (Bellfruit) (Adder 5) (set 2)",
ad5crsc,"警察和强盗","Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 1)",
ad5crsca,"警察和强盗","Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 2)",
ad5crscb,"警察和强盗","Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 3)",
ad5crscc,"警察和强盗","Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 4)",
ad5crscd,"警察和强盗","Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 7)",
ad5crsce,"警察和强盗","Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 8)",
ad5crscf,"警察和强盗","Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 9)",
ad5crscg,"警察和强盗","Cops 'n' Robbers (PR2495) (Mazooma) (Adder 5) (set 10)",
ad5crsch,"警察和强盗","Cops 'n' Robbers (PR2628) (Mazooma) (Adder 5) (set 3)",
ad5dnd,"一掷千金","Deal Or No Deal (Bellfruit) (Adder 5) (set 1)",
ad5dnda,"一掷千金","Deal Or No Deal (Bellfruit) (Adder 5) (set 2)",
ad5dndb,"一掷千金","Deal Or No Deal (Bellfruit) (Adder 5) (set 3)",
ad5dndc,"一掷千金","Deal Or No Deal (Bellfruit) (Adder 5) (set 4)",
ad5dndcl,"一掷千金-俱乐部","Deal Or No Deal Club (Bellfruit) (Adder 5) (set 1)",
ad5dndcla,"一掷千金-俱乐部","Deal Or No Deal Club (Bellfruit) (Adder 5) (set 2)",
ad5dndclb,"一掷千金-俱乐部","Deal Or No Deal Club (Bellfruit) (Adder 5) (set 3)",
ad5dndclc,"一掷千金-俱乐部","Deal Or No Deal Club (Bellfruit) (Adder 5) (set 4)",
ad5dndcld,"一掷千金-俱乐部","Deal Or No Deal Club (Bellfruit) (Adder 5) (set 5)",
ad5dndcle,"一掷千金-俱乐部","Deal Or No Deal Club (Bellfruit) (Adder 5) (set 6)",
ad5dndclf,"一掷千金-俱乐部","Deal Or No Deal Club (Bellfruit) (Adder 5) (set 20)",
